part_number	type	description	quantity_in_stock	cost	retail_price
GRMZM0000020	thingamajig	"Vestibulum iaculis nisl magna, ac dignissim nulla porta sit amet. Donec laoreet ullamcorper mi, eget mattis lectus viverra placerat. Suspendisse et nibh feugiat purus varius interdum. Nullam tempor felis felis, sit amet rutrum justo rhoncus id. In blandit convallis lectus non fringilla. Suspendisse id laoreet orci. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Maecenas dapibus luctus diam, quis porta elit. Phasellus blandit ultricies libero in dapibus. Vivamus non dolor pharetra, pellentesque purus at, feugiat lacus. Ut hendrerit luctus sapien non cursus. Morbi ornare magna dapibus tellus convallis iaculis. Aenean rutrum nunc id nisi eleifend, ut egestas mi adipiscing. Aenean nec felis risus. Aenean feugiat imperdiet ornare."	3726	$0.51	$0.72
GRMZM0000021	thingamajig	"Donec accumsan mauris id nisi ullamcorper, in lacinia nulla laoreet. Quisque euismod aliquam mi ac commodo. Morbi non sem eu neque interdum tempor. Nullam purus est, laoreet ut ornare sit amet, consequat non odio. Phasellus sapien lectus, convallis at lacus et, fermentum vehicula lacus. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Duis eleifend odio at turpis interdum, et tristique quam varius. Nulla urna lacus, porttitor vitae dolor pellentesque, placerat viverra turpis. In hac habitasse platea dictumst."	1066	$0.53	$0.75
GRMZM0000022	doodad	"Sed posuere rhoncus augue sit amet tincidunt. Integer quam turpis, laoreet at faucibus sed, faucibus eget leo. Duis quis faucibus quam, eget laoreet turpis. Phasellus nisl libero, viverra non ornare eu, porta non augue. Phasellus lacinia dolor ut purus commodo, eu eleifend felis faucibus. Maecenas iaculis lacus vitae commodo elementum. Ut malesuada est enim, lobortis tempor metus tristique non. Interdum et malesuada fames ac ante ipsum primis in faucibus. Etiam volutpat odio nec odio consectetur, at tincidunt massa ornare. Phasellus semper velit risus. Duis molestie imperdiet lacus, ut vehicula quam pulvinar non. Quisque nisl ligula, mollis sit amet condimentum eu, tincidunt gravida arcu. Nullam ac lacus quam. Suspendisse vel hendrerit velit, a sollicitudin turpis. Nulla facilisi."	5434	$0.23	$0.33
GRMZM0000023	doodad	"Mauris et sagittis magna. Aliquam non mauris eleifend eros iaculis placerat et nec neque. Curabitur ullamcorper pretium faucibus. Suspendisse aliquet tortor eu accumsan posuere. Vivamus nec metus eros. Duis in feugiat augue. Morbi hendrerit velit nec lorem aliquet vulputate. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Morbi tempor varius tellus, a placerat neque suscipit eu. Maecenas ut consectetur nisl, eu bibendum dui. Proin orci mi, sollicitudin sed ipsum non, ullamcorper tincidunt mi. Ut non accumsan elit."	5990	$0.72	$1.01
GRMZM0000024	doodad	"Quisque ornare vel arcu et euismod. Etiam pulvinar fringilla dui, eu dignissim nunc semper eget. Aliquam a pretium felis, quis dignissim mi. In ac accumsan risus, eu ultrices justo. Mauris eu eros luctus, ornare felis sed, interdum mi. Morbi lobortis ante ut nulla tincidunt placerat. Donec iaculis ipsum placerat dictum molestie. Suspendisse sapien turpis, posuere nec purus sed, faucibus cursus erat. In interdum commodo urna vel pretium."	7128	$0.79	$1.11
GRMZM0000025	thingamajig	"Aenean fringilla vitae lectus fringilla interdum. Etiam consequat, mauris et consequat sodales, nibh dui venenatis nunc, et scelerisque mi leo ac risus. Integer auctor ultrices quam nec lobortis. Vestibulum nec pellentesque nisi. Sed felis justo, facilisis tristique mattis vitae, vehicula ac nisl. Ut nec nibh tristique urna congue vulputate sit amet at massa. Vestibulum accumsan feugiat vestibulum. Integer quis mattis mi, a mollis ipsum. Aenean nec massa nulla. Suspendisse potenti. Morbi ullamcorper blandit nunc, ac hendrerit leo luctus a. Fusce id dui at eros rutrum facilisis."	4792	$0.30	$0.42
GRMZM0000026	doodad	"Suspendisse potenti. Phasellus mollis tellus ut mi pellentesque posuere. Quisque sed arcu eget odio rutrum ultrices. Praesent a nunc vel dolor convallis commodo. Nullam purus sapien, venenatis eu laoreet vel, rutrum et purus. Aenean eu ornare libero. Nunc et nunc ornare, mattis mauris scelerisque, accumsan sem. Nullam viverra, nulla sit amet condimentum euismod, dolor diam luctus erat, ultricies faucibus massa risus vel augue. Mauris elit ante, ullamcorper in dolor in, vehicula cursus mauris. Donec vehicula eleifend nunc at eleifend. In hac habitasse platea dictumst. Integer sagittis tincidunt sollicitudin. Cras nunc tellus, fringilla nec turpis quis, varius condimentum quam. Phasellus auctor enim id felis lacinia, ac aliquet urna euismod. Quisque orci magna, placerat at semper ac, accumsan non ante."	3086	$0.69	$0.97
GRMZM0000027	widget	"Etiam ut magna viverra, placerat purus a, varius eros. Curabitur sed dolor et libero aliquam rutrum. Curabitur gravida, nisi quis ultrices congue, neque augue dapibus orci, id sodales tortor felis id urna. Nullam adipiscing euismod augue et dignissim. Aenean in porta purus. Duis ut justo tortor. Nunc dictum, nunc at ornare porttitor, dolor ante laoreet tellus, quis adipiscing neque nisl in libero. Fusce ultrices aliquam tempor. Integer arcu eros, consequat ac mi in, mollis tristique erat. Suspendisse dictum nunc et ipsum iaculis placerat. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Aenean quis elit dui."	830	$0.35	$0.49
GRMZM0000028	doodad	"Vestibulum sed congue odio, ac rhoncus est. Aliquam aliquam nisi vel nulla ornare eleifend. Mauris sed est consequat, viverra libero ut, pretium elit. Vestibulum commodo nisl eget nulla mollis molestie at sit amet nisl. Suspendisse sed ligula condimentum, tincidunt turpis vehicula, dapibus urna. Aenean eleifend felis eu arcu ornare, id ultrices lectus faucibus. Curabitur eleifend adipiscing ligula, vitae tristique nunc aliquam id. Aenean ac felis turpis. Nulla convallis vestibulum arcu et blandit. Nulla facilisi."	6494	$0.70	$0.98
GRMZM0000029	widget	"Phasellus fringilla quis libero vel commodo. Vivamus quis orci enim. Nam condimentum mi eget libero sagittis, ac ornare felis suscipit. Mauris ut sapien mattis, varius sapien quis, vestibulum sem. Suspendisse potenti. Cras felis diam, tincidunt id vulputate ac, posuere non diam. Cras et eros lacinia urna laoreet porttitor. Donec tristique neque quis hendrerit placerat. Maecenas felis est, pulvinar sit amet leo quis, sollicitudin lobortis dui."	1526	$0.43	$0.61
GRMZM0000030	doodad	"Aenean in rhoncus magna. In ornare tortor eu lorem placerat sagittis. Aenean fringilla enim eros, dignissim gravida metus auctor vel. Vivamus facilisis nisi eu sapien iaculis tempus. Nullam bibendum leo in erat porta, ut bibendum est lobortis. Maecenas sed ultrices lorem. Nunc et erat massa. Suspendisse quam nunc, condimentum at enim in, aliquam iaculis ante. Cras posuere tincidunt feugiat. Sed consectetur aliquam tellus, a congue nulla consequat ut. Sed nulla diam, ornare et laoreet at, fermentum id enim."	4137	$1.00	$1.40
GRMZM0000031	widget	"Maecenas in elementum orci. Quisque egestas ultrices vestibulum. Etiam blandit et ligula luctus lobortis. Fusce ut tortor adipiscing, vestibulum enim a, dictum elit. In a ligula et nulla congue rutrum. In leo massa, rhoncus ac rhoncus eget, tempor aliquet est. Mauris consectetur sapien non risus cursus volutpat quis id est."	7314	$0.32	$0.44
GRMZM0000032	doodad	"Morbi hendrerit ultricies metus, ut euismod est tincidunt nec. Sed ut purus nec libero consectetur sollicitudin. Quisque at euismod mauris, ac vestibulum massa. In sit amet lacus leo. Nam ac lorem quis lectus dignissim commodo non nec erat. Sed massa purus, tristique vitae mattis non, malesuada vel massa. Nullam vel felis id ante tincidunt posuere. In volutpat pharetra massa, a consectetur neque volutpat non. Nullam eget nisi magna. Nunc mattis ut nisl eu varius. Duis non justo nunc. Donec ut auctor neque, eget mollis ligula. In non erat vitae ligula fringilla placerat. Ut vel orci ante."	4337	$0.90	$1.27
GRMZM0000033	doodad	"Mauris dapibus magna vitae eros consequat, et egestas nisl venenatis. Sed sollicitudin diam et libero scelerisque elementum. Donec ut sapien lobortis magna adipiscing sodales. Curabitur ultrices diam massa, ut bibendum est gravida quis. Integer tristique odio risus, sit amet aliquam lorem volutpat a. Pellentesque fringilla ornare leo, vel lobortis eros lobortis a. Nulla est metus, gravida in blandit quis, sagittis quis neque. Pellentesque vulputate magna eget felis dignissim gravida. Maecenas ut dui consectetur, sodales felis quis, condimentum ipsum."	3639	$0.38	$0.53
GRMZM0000034	thingamajig	"Etiam aliquam libero nec ligula ultricies accumsan. Interdum et malesuada fames ac ante ipsum primis in faucibus. Sed commodo urna condimentum magna gravida, a blandit mi condimentum. Suspendisse pretium quis neque vitae porttitor. Praesent congue venenatis risus ut consequat. Aliquam erat volutpat. In gravida nisl odio, vel aliquam risus laoreet at. Vestibulum venenatis et velit nec volutpat. Phasellus congue tempus congue. Fusce magna mi, tincidunt ac augue ut, condimentum lobortis orci. Sed nec venenatis lacus, vitae congue turpis. Curabitur suscipit magna et odio viverra, vitae fringilla elit rutrum."	9988	$0.18	$0.25
GRMZM0000035	thingamajig	"Vivamus blandit vestibulum ligula, eget euismod nisl ultricies at. Ut adipiscing mattis nulla, sed rhoncus tortor faucibus dictum. Donec sodales libero justo, ut tempor turpis cursus in. Ut rhoncus consectetur euismod. Nullam porta lobortis justo, quis blandit nulla sodales vitae. Fusce tempus lacus at purus interdum dapibus. Nunc adipiscing, purus et pretium faucibus, ante elit adipiscing felis, eu posuere turpis enim vitae lorem. Nam ut augue enim. Donec ac fermentum felis, in vehicula nisl. Praesent lorem ipsum, tempor vehicula nibh at, tristique cursus purus. Duis sed sem quis risus congue tincidunt quis ut metus. Cras enim sem, hendrerit ac dui in, bibendum congue turpis."	1203	$0.42	$0.59
GRMZM0000036	widget	"Vivamus ultricies tellus vitae neque vestibulum commodo. Suspendisse erat risus, hendrerit vel accumsan vitae, gravida non nibh. Curabitur sit amet volutpat massa. Duis dignissim vehicula augue, et feugiat orci laoreet suscipit. In aliquet molestie lacus sed accumsan. Vivamus at sagittis ligula. Vivamus lacinia aliquet placerat. Pellentesque a suscipit urna. Donec non magna lorem. Maecenas ultrices dapibus orci sit amet vulputate. Pellentesque eget blandit neque. Fusce lacinia suscipit commodo. Curabitur cursus in eros imperdiet venenatis. Vestibulum neque lacus, tempus vel dolor in, auctor auctor nisl. Curabitur tempus odio eget leo rutrum dictum. Morbi eu aliquam metus."	3630	$0.53	$0.74
GRMZM0000037	thingamajig	"Curabitur ac convallis ligula. Proin viverra, felis vitae cursus aliquam, turpis neque egestas erat, ac venenatis erat justo a quam. Nullam dignissim euismod mi, ut luctus nisl. Etiam id nisl eget est vehicula porta in sit amet metus. Praesent congue urna feugiat, tincidunt nibh ac, vehicula sapien. Suspendisse potenti. Nulla id lectus in mauris pulvinar iaculis nec ultrices augue. Sed pharetra mattis egestas. Sed id vehicula ligula. Maecenas et tortor velit. Duis libero tellus, tristique sed fringilla eu, bibendum id arcu."	5387	$0.01	$0.02
GRMZM0000038	thingamajig	Morbi eu mauris massa. Ut eu magna elit. Integer consequat lacus id massa condimentum accumsan. Donec tincidunt lectus sit amet tempor congue. Proin ut urna sit amet urna dignissim hendrerit. Duis a vestibulum sem. Etiam commodo feugiat justo nec sollicitudin. Proin vitae convallis quam.	1750	$0.76	$1.06
GRMZM0000039	doodad	"Proin consectetur arcu sed est malesuada porta. Donec tempor cursus nulla eget porttitor. Sed ornare elementum gravida. Etiam porta faucibus sollicitudin. Maecenas facilisis non velit non condimentum. In ac urna aliquam dui commodo tempor in nec velit. Proin id elit nec dui ullamcorper interdum. Integer id nisi enim. Vestibulum eget lacinia nibh, ut fermentum enim. Mauris non purus id orci pharetra porta. Nullam commodo eros ut felis tincidunt, vel facilisis ante fringilla. Etiam porttitor feugiat lorem, eget congue quam pulvinar nec. Vivamus urna nisi, porttitor vitae consequat ut, lacinia vitae mi."	2965	$0.99	$1.39
GRMZM0000040	doodad	"In in iaculis mauris. Nam arcu erat, laoreet sed mattis eget, sagittis eu libero. Interdum et malesuada fames ac ante ipsum primis in faucibus. Ut at nisi et ligula consequat condimentum ac a libero. Integer quam urna, cursus at lectus et, convallis vestibulum nisi. Quisque elit velit, elementum vitae fermentum sit amet, viverra in sem. Etiam tempor metus nec mi tempor pharetra."	3018	$0.59	$0.82
GRMZM0000041	widget	"Duis porta tristique ipsum vitae adipiscing. Nam sit amet elit vel tellus sodales elementum sed a ipsum. Phasellus ut vulputate dolor. Praesent venenatis interdum diam, quis viverra ipsum varius ut. Aliquam rhoncus varius augue, id porttitor neque. Nam sed pulvinar purus. Maecenas sit amet cursus magna. Duis nunc nisi, malesuada sed dolor sed, accumsan ullamcorper mi. Phasellus rutrum eros nec metus scelerisque fermentum. Vestibulum non metus nec ligula porttitor tincidunt in id orci. Suspendisse potenti. Sed molestie enim urna, at molestie velit semper vel. In ullamcorper, velit a porttitor condimentum, est ante commodo urna, vitae rutrum justo ante nec nulla. Morbi orci leo, sagittis non nisl eu, auctor gravida justo. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; In ut quam enim."	4606	$0.98	$1.38
GRMZM0000042	widget	"Integer id sapien metus. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Maecenas nec velit lectus. Cras ultricies, velit vel porttitor rhoncus, nulla purus sagittis nibh, eget tincidunt justo massa a metus. Suspendisse ornare sapien bibendum, facilisis risus sit amet, tristique enim. Pellentesque vitae lectus ac orci ornare ultricies. Maecenas faucibus lectus ac orci lacinia, in tincidunt diam viverra. Pellentesque lobortis justo et faucibus semper. Sed accumsan ante et magna aliquet, at volutpat quam eleifend. Aliquam at porttitor nisi, sit amet cursus est. Curabitur pharetra imperdiet tortor ut egestas. Phasellus a ligula et neque ultrices ultricies nec vitae elit. Curabitur eu diam sit amet neque auctor sollicitudin. Sed magna enim, pharetra vel sollicitudin at, tincidunt a nisl."	1836	$0.71	$0.99
GRMZM0000043	doodad	"Vestibulum dignissim ornare purus non condimentum. Aliquam erat massa, varius vel nisl vel, eleifend cursus nibh. Ut eu tristique dui, sed varius dui. Nulla luctus purus leo, sed pharetra mauris pretium quis. Aenean sed urna turpis. Aenean nisl elit, pellentesque vehicula imperdiet ac, vulputate sit amet lorem. Duis a ante eu arcu porta iaculis eget eu tortor. Pellentesque rhoncus porttitor porta. Nunc placerat ornare erat, vitae suscipit sem commodo sed. Mauris eget dui at mauris congue ultricies."	6598	$0.45	$0.63
GRMZM0000044	widget	"Praesent eu libero pulvinar, tristique eros eu, scelerisque tellus. Etiam ac pulvinar libero, ac mollis libero. Aenean imperdiet ullamcorper sapien, in tristique nisi dapibus at. Duis cursus ullamcorper quam sed ullamcorper. Nulla id risus nec nunc rhoncus dapibus. Ut eget pellentesque lectus, sit amet lacinia enim. Duis placerat ante vitae risus aliquet, quis sagittis ipsum ultricies. Pellentesque blandit purus molestie lectus facilisis consequat quis at neque. In rhoncus risus eu ornare dapibus. Curabitur nec mollis sem. Suspendisse potenti. Curabitur eu gravida lectus. Praesent sagittis, quam at aliquam congue, nunc ligula eleifend nisl, at dapibus nisi nunc non risus. Nam pulvinar eros odio, sit amet ullamcorper ipsum euismod vitae. Etiam vitae diam a nibh posuere fringilla vitae ac neque."	7701	$0.52	$0.72
